0.33	0.39
0.95	0.58
0.84	0.60
0.38	0.65
0.03	0.97
0.25	0.29
0.77	0.09
0.31	0.53
0.54	0.35
0.72	0.43
0.32	0.46
0.27	0.68
0.86	0.24
0.73	0.19
0.59	0.92
0.70	0.09
0.55	0.86
0.03	0.13
0.28	0.82
0.96	0.26
0.13	0.08
0.30	0.67
0.88	0.61
0.53	0.84
0.35	0.01
0.56	0.34
0.87	0.75
0.02	0.54
0.75	0.76
0.29	0.68
0.59	0.53
0.14	0.34
0.25	0.22
0.85	0.49
0.50	0.61
1.00	0.98
0.72	0.00
0.34	0.82
0.14	0.67
0.42	0.97
0.77	0.85
0.09	0.03
0.87	0.57
0.20	0.85
0.22	0.31
0.48	0.60
0.29	0.87
0.44	0.42
0.03	0.35
0.61	0.79
0.85	0.70
0.37	0.96
0.59	0.17
0.22	0.06
0.11	0.09
0.31	0.84
0.55	0.61
0.67	0.04
0.66	0.48
0.72	0.15
0.86	0.61
0.11	0.36
0.52	0.06
0.50	0.90
0.51	0.86
0.96	0.66
0.84	0.86
0.84	0.19
0.11	0.55
0.38	0.69
0.86	0.02
0.46	0.43
0.40	0.67
0.44	0.04
0.63	0.62
1.00	0.30
0.33	0.57
0.01	0.23
0.05	0.84
0.76	0.16
0.22	0.51
0.79	0.06
0.03	0.48
0.31	0.11
0.21	0.48
0.79	0.37
0.87	0.14
0.40	0.89
0.96	0.50
0.27	0.78
0.31	0.38
0.32	0.28
0.37	0.26
0.99	0.93
0.69	0.89
0.74	0.75
0.72	0.67
0.23	0.30
0.23	0.46
0.41	0.47
