-334.40	53.24
252.39	34.59
76.81	228.51
-52.15	-436.41
-426.31	-132.10
337.00	-340.19
-24.94	-230.81
106.06	415.47
-292.82	-92.90
415.35	389.09
232.14	-252.14
480.60	472.90
-190.20	-300.58
-435.93	-65.50
-164.01	-141.09
177.08	-251.81
-62.41	259.08
-0.55	-238.21
-274.59	-113.31
7.07	206.79
-393.66	-151.73
-434.99	-447.09
338.80	192.74
-208.34	-267.53
78.64	65.12
328.58	315.54
-492.25	61.91
-239.26	304.08
263.33	-113.53
323.90	-168.96
293.05	-338.73
208.25	200.09
-50.00	-456.00
-277.99	382.27
-389.24	-384.10
-186.48	297.51
351.12	363.03
-32.46	-47.33
-253.88	455.27
288.77	-218.53
174.55	-57.48
-334.93	338.00
102.80	434.20
263.09	-168.07
-301.02	305.45
250.63	-137.94
-214.75	482.32
-437.13	103.91
-424.89	-101.68
-266.27	-361.95
-138.22	285.88
299.04	67.63
325.03	-431.18
44.74	-433.37
405.98	-244.08
421.07	-474.98
-237.35	-99.63
-226.89	-487.61
-335.75	386.54
-351.97	-131.12
-192.35	-467.31
331.32	349.93
-53.03	257.37
-63.17	-98.70
415.81	347.08
-170.11	-178.91
91.01	-316.00
-102.25	277.55
-401.81	-354.52
198.53	394.68
-408.71	-229.70
-182.51	-108.08
-248.08	-297.89
338.60	-429.96
-251.00	366.64
199.83	-228.02
-224.78	316.65
342.02	316.04
434.06	187.77
-15.88	297.57
-310.64	247.85
61.84	-413.30
309.69	94.37
-148.31	-189.07
-259.91	-343.55
-430.43	104.99
-383.51	-207.88
280.35	-65.47
201.36	-63.56
284.42	-143.88
-136.13	452.27
257.23	162.70
353.89	-436.67
-190.31	-18.14
26.40	7.47
-190.04	-456.12
361.20	-161.38
-238.63	17.05
92.78	126.93
-233.51	-480.56
